Analyzer,Year,PhotoID,Grid.ID,Depth,Replicate,Grid.No,Grid.Area.cm,Area.Covered.cm,SpeciesID,Species.Count,Org.Area.cm,Notes,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (3b),3_1_3,300,1,3,86.217,51.208,spirobis_sp,31,1.324,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (4),3_1_4,300,1,4,80.177,41.058,calcareous_tubeworm,27,6.646,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (4),3_1_4,300,1,4,80.177,41.058,sabellariid_tubeworm,6,1.996,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (4),3_1_4,300,1,4,80.177,41.058,branched_bryozoan_sp,1,0.453,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (4),3_1_4,300,1,4,80.177,41.058,encrusting_bryozoan_sp,14,5.807,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (4),3_1_4,300,1,4,80.177,41.058,Glebocarcinus_oregonensis,1,0.282,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (4),3_1_4,300,1,4,80.177,41.058,Lichenopora,9,0.322,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (4),3_1_4,300,1,4,80.177,41.058,spirobis_sp,32,0.818,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (5b),3_1_5,300,1,5,86.558,49.577,calcareous_tubeworm,44,12.671,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (5b),3_1_5,300,1,5,86.558,49.577,polychaete_sp,1,0.688,scale worm?,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (5b),3_1_5,300,1,5,86.558,49.577,encrusting_bryozoan_sp,8,3.328,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (5b),3_1_5,300,1,5,86.558,49.577,Pododesmus_macrochisma,1,3.582,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (5b),3_1_5,300,1,5,86.558,49.577,sabellariid_tubeworm,5,3.814,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (5b),3_1_5,300,1,5,86.558,49.577,branched_bryozoan_sp,11,16.311,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (5b),3_1_5,300,1,5,86.558,49.577,Strongylocentrotus_sp,1,0.149,juvenile,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (5b),3_1_5,300,1,5,86.558,49.577,spirobis_sp,17,0.855,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (5b),3_1_5,300,1,5,86.558,49.577,Lichenopora,5,0.225,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (5b),3_1_5,300,1,5,86.558,49.577,amphipod,1,0.124,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (6),3_1_6,300,1,6,85.071,51.206,calcareous_tubeworm,26,10.268,did not see T. cancellata (Kim has on her data sheet),,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (6),3_1_6,300,1,6,85.071,51.206,sabellariid_tubeworm,6,10.499,sabellariid polychaete ?,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (6),3_1_6,300,1,6,85.071,51.206,Lichenopora,7,0.386,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (6),3_1_6,300,1,6,85.071,51.206,Pododesmus_macrochisma,4,4.943,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (6),3_1_6,300,1,6,85.071,51.206,encrusting_bryozoan_sp,12,6.219,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (6),3_1_6,300,1,6,85.071,51.206,branched_bryozoan_sp,3,0.766,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (6),3_1_6,300,1,6,85.071,51.206,spirobis_sp,5,0.240,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (7),3_1_7,300,1,7,63.339,33.839,Pododesmus_macrochisma,2,7.441,-,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (7),3_1_7,300,1,7,63.339,33.839,calcareous_tubeworm,22,7.706,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (7),3_1_7,300,1,7,63.339,33.839,sabellariid_tubeworm,4,2.883,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (7),3_1_7,300,1,7,63.339,33.839,encrusting_bryozoan_sp,10,4.130,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (7),3_1_7,300,1,7,63.339,33.839,Lichenopora,13,0.877,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (7),3_1_7,300,1,7,63.339,33.839,branched_bryozoan_sp,3,0.380,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (7),3_1_7,300,1,7,63.339,33.839,spirobis_sp,3,0.084,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (8),3_1_8,300,1,8,85.734,46.315,calcareous_tubeworm,33,9.214,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (8),3_1_8,300,1,8,85.734,46.315,sabellariid_tubeworm,27,21.498,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (8),3_1_8,300,1,8,85.734,46.315,Glebocarcinus_oregonensis,1,0.405,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (8),3_1_8,300,1,8,85.734,46.315,encrusting_bryozoan_sp,5,0.959,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (8),3_1_8,300,1,8,85.734,46.315,spirobis_sp,13,0.829,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (8),3_1_8,300,1,8,85.734,46.315,Lichenopora,14,0.749,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (8),3_1_8,300,1,8,85.734,46.315,branched_bryozoan_sp,4,0.667,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (8),3_1_8,300,1,8,85.734,46.315,Chelysoma_productum,1,0.640,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (9b),3_1_9,300,1,9,83.478,48.233,calcareous_tubeworm,29,10.414,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (9b),3_1_9,300,1,9,83.478,48.233,sabellariid_tubeworm,18,19.025,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (9b),3_1_9,300,1,9,83.478,48.233,Pododesmus_macrochisma,2,1.852,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (9b),3_1_9,300,1,9,83.478,48.233,encrusting_bryozoan_sp,8,2.011,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (9b),3_1_9,300,1,9,83.478,48.233,Lichenopora,4,0.299,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (9b),3_1_9,300,1,9,83.478,48.233,branched_bryozoan_sp,4,1.128,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (9b),3_1_9,300,1,9,83.478,48.233,Chelysoma_productum,1,0.391,tunicate,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (9b),3_1_9,300,1,9,83.478,48.233,spirobis_sp,5,0.327,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (10),3_1_10,300,1,10,82.236,46.178,Lichenopora,19,1.097,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (10),3_1_10,300,1,10,82.236,46.178,spirobis_sp,2,0.079,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (10),3_1_10,300,1,10,82.236,46.178,Pododesmus_macrochisma,1,0.509,"or tunicate? (Kim labelled as tunicate, but looks like bivalve to me)",,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (10),3_1_10,300,1,10,82.236,46.178,encrusting_bryozoan_sp,5,0.992,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (10),3_1_10,300,1,10,82.236,46.178,branched_bryozoan_sp,1,0.498,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (10),3_1_10,300,1,10,82.236,46.178,calcareous_tubeworm,25,4.987,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (10),3_1_10,300,1,10,82.236,46.178,sabellariid_tubeworm,21,17.765,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (10),3_1_10,300,1,10,82.236,46.178,Crepidula,1,0.317,gastropod? (sent to group chat 5/2),,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (11b),3_1_11,300,1,11,85.173,26.550,calcareous_tubeworm,15,2.806,"hole, not a lot of organismal cover",,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (11b),3_1_11,300,1,11,85.173,26.550,sabellariid_tubeworm,5,1.695,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (11b),3_1_11,300,1,11,85.173,26.550,Lichenopora,12,1.464,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (11b),3_1_11,300,1,11,85.173,26.550,encrusting_bryozoan_sp,9,1.247,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (11b),3_1_11,300,1,11,85.173,26.550,Harmothoe_sp,1,0.240,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,sabellariid_tubeworm,17,7.592,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,encrusting_bryozoan_sp,11,1.785,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,branched_bryozoan_sp,5,0.963,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,calcareous_tubeworm,26,7.688,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,Pododesmus_macrochisma,3,1.652,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,Crepidula,2,0.288,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,Lichenopora,6,0.312,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,Trichotropis,3,0.173,cancellata ?,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,spirobis_sp,9,0.311,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,barnacle,1,0.500,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (12c),3_1_12,300,1,12,81.279,37.444,Chelysoma_productum,2,0.071,not on Kim's datasheet for this slab,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (13),3_1_13,300,1,13,77.709,43.295,sabellariid_tubeworm,24,12.639,crooked grid square,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (13),3_1_13,300,1,13,77.709,43.295,Pododesmus_macrochisma,4,3.597,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (13),3_1_13,300,1,13,77.709,43.295,encrusting_bryozoan_sp,6,2.030,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (13),3_1_13,300,1,13,77.709,43.295,spirobis_sp,7,0.413,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (13),3_1_13,300,1,13,77.709,43.295,calcareous_tubeworm,23,6.747,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (13),3_1_13,300,1,13,77.709,43.295,Cranopsis_cucullata,1,0.193,Cranopsis_cucullata,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (13),3_1_13,300,1,13,77.709,43.295,branched_bryozoan_sp,3,2.337,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (13),3_1_13,300,1,13,77.709,43.295,Trichotropis,3,0.252,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (13),3_1_13,300,1,13,77.709,43.295,Lichenopora,4,0.316,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (13),3_1_13,300,1,13,77.709,43.295,Crepidula,1,0.095,sent to discord 5/5,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (14),3_1_14,300,1,14,68.923,32.651,calcareous_tubeworm,23,6.479,grid square hanging off,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (14),3_1_14,300,1,14,68.923,32.651,sabellariid_tubeworm,22,17.752,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (14),3_1_14,300,1,14,68.923,32.651,encrusting_bryozoan_sp,7,2.833,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (14),3_1_14,300,1,14,68.923,32.651,Pododesmus_macrochisma,1,0.412,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (14),3_1_14,300,1,14,68.923,32.651,spirobis_sp,3,0.114,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (14),3_1_14,300,1,14,68.923,32.651,branched_bryozoan_sp,4,1.785,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (14),3_1_14,300,1,14,68.923,32.651,Lichenopora,5,0.242,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (15),3_1_15,300,1,15,81.351,56.398,anemone_sp,1,32.115,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (15),3_1_15,300,1,15,81.351,56.398,sabellariid_tubeworm,45,22.415,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (15),3_1_15,300,1,15,81.351,56.398,calcareous_tubeworm,15,3.189,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (15),3_1_15,300,1,15,81.351,56.398,branched_bryozoan_sp,1,0.186,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (15),3_1_15,300,1,15,81.351,56.398,spirobis_sp,2,0.165,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (15),3_1_15,300,1,15,81.351,56.398,Pododesmus_macrochisma,2,0.831,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (15),3_1_15,300,1,15,81.351,56.398,Chelysoma_productum,1,0.377,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (16),3_1_16,300,1,16,75.301,50.970,sabellariid_tubeworm,46,24.395,grid hanging off plate,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (16),3_1_16,300,1,16,75.301,50.970,anemone_sp,0,0.525,already counted,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (16),3_1_16,300,1,16,75.301,50.970,Pododesmus_macrochisma,2,1.947,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (16),3_1_16,300,1,16,75.301,50.970,calcareous_tubeworm,23,3.732,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (16),3_1_16,300,1,16,75.301,50.970,Lichenopora,7,0.313,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (16),3_1_16,300,1,16,75.301,50.970,encrusting_bryozoan_sp,10,1.377,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (16),3_1_16,300,1,16,75.301,50.970,spirobis_sp,6,0.287,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (16),3_1_16,300,1,16,75.301,50.970,Trichotropis,2,0.100,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (17),3_1_17,300,1,17,77.979,50.689,sabellariid_tubeworm,41,22.422,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (17),3_1_17,300,1,17,77.979,50.689,Polynoid_sp,1,0.715,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (17),3_1_17,300,1,17,77.979,50.689,Pododesmus_macrochisma,2,0.631,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (17),3_1_17,300,1,17,77.979,50.689,calcareous_tubeworm,27,4.732,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (17),3_1_17,300,1,17,77.979,50.689,encrusting_bryozoan_sp,10,1.037,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (17),3_1_17,300,1,17,77.979,50.689,spirobis_sp,5,0.195,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (17),3_1_17,300,1,17,77.979,50.689,Lichenopora,6,0.310,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (17),3_1_17,300,1,17,77.979,50.689,branched_bryozoan_sp,1,0.105,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (17),3_1_17,300,1,17,77.979,50.689,Trichotropis,2,0.110,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (18),3_1_18,300,1,18,72.603,51.629,sabellariid_tubeworm,42,15.122,Grid hanging off the plate,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (18),3_1_18,300,1,18,72.603,51.629,calcareous_tubeworm,22,5.110,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (18),3_1_18,300,1,18,72.603,51.629,Lichenopora,27,1.161,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (18),3_1_18,300,1,18,72.603,51.629,Trichotropis,3,0.147,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (18),3_1_18,300,1,18,72.603,51.629,encrusting_bryozoan_sp,12,1.515,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (18),3_1_18,300,1,18,72.603,51.629,spirobis_sp,8,0.286,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (18),3_1_18,300,1,18,72.603,51.629,Pododesmus_macrochisma,2,1.168,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (19),3_1_19,300,1,19,73.985,41.670,sabellariid_tubeworm,35,14.872,Grid hanging off plate,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (19),3_1_19,300,1,19,73.985,41.670,calcareous_tubeworm,25,5.050,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (19),3_1_19,300,1,19,73.985,41.670,spirobis_sp,6,0.268,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (19),3_1_19,300,1,19,73.985,41.670,Lichenopora,11,0.468,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (19),3_1_19,300,1,19,73.985,41.670,encrusting_bryozoan_sp,13,3.839,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (19),3_1_19,300,1,19,73.985,41.670,branched_bryozoan_sp,1,0.186,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (19),3_1_19,300,1,19,73.985,41.670,Trichotropis,2,0.087,Grid hanging off plate,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (20),3_1_20,300,1,20,78.135,39.259,sabellariid_tubeworm,28,23.223,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (20),3_1_20,300,1,20,78.135,39.259,Lichenopora,2,0.144,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (20),3_1_20,300,1,20,78.135,39.259,Pododesmus_macrochisma,2,1.011,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (20),3_1_20,300,1,20,78.135,39.259,Trichotropis,1,0.072,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (20),3_1_20,300,1,20,78.135,39.259,calcareous_tubeworm,20,3.871,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (20),3_1_20,300,1,20,78.135,39.259,spirobis_sp,7,0.393,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (20),3_1_20,300,1,20,78.135,39.259,encrusting_bryozoan_sp,6,0.843,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (21b),3_1_21,300,1,21,69.582,45.703,sabellariid_tubeworm,19,16.685,Grid hanging off plate,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (21b),3_1_21,300,1,21,69.582,45.703,calcareous_tubeworm,13,5.005,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (21b),3_1_21,300,1,21,69.582,45.703,Trichotropis,3,0.198,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (21b),3_1_21,300,1,21,69.582,45.703,encrusting_bryozoan_sp,6,1.581,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (21b),3_1_21,300,1,21,69.582,45.703,spirobis_sp,4,0.476,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (21b),3_1_21,300,1,21,69.582,45.703,Pododesmus_macrochisma,1,0.288,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (21b),3_1_21,300,1,21,69.582,45.703,Lichenopora,3,0.677,,,,,,,,,,,,,,,,,
Lucia,2014,300ft_Year2_Rep3 (1).JPG,3_3_1,300,3,1,66.692,31.465,Pododesmus_macrochisma,3,4.473,,,,,,,,,,,,,,,,,
Lucia,2014,300ft_Year2_Rep3 (1).JPG,3_3_1,300,3,1,66.692,31.465,encrusting_bryozoan_sp,10,5.303,,,,,,,,,,,,,,,,,
Lucia,2014,300ft_Year2_Rep3 (1).JPG,3_3_1,300,3,1,66.692,31.465,calcareous_tubeworm,9,3.235,,,,,,,,,,,,,,,,,
Lucia,2014,300ft_Year2_Rep3 (2).JPG,3_3_2,300,3,2,79.772,36.092,calcareous_tubeworm,16,5.838,,,,,,,,,,,,,,,,,
Lucia,2014,300ft_Year2_Rep3 (2).JPG,3_3_2,300,3,2,79.772,36.092,encrusting_bryozoan_sp,17,10.141,,,,,,,,,,,,,,,,,
Lucia,2014,300ft_Year2_Rep3 (2).JPG,3_3_2,300,3,2,79.772,36.092,spirobis_sp,4,0.370,,,,,,,,,,,,,,,,,
Lucia,2014,300ft_Year2_Rep3 (2).JPG,3_3_2,300,3,2,79.772,36.092,sabellariid_tubeworm,1,0.065,,,,,,,,,,,,,,,,,
Lucia,2014,300ft_Year2_Rep3 (2).JPG,3_3_2,300,3,2,79.772,36.092,branched_bryozoan_sp,2,0.213,,,,,,,,,,,,,,,,,
Lucia,2014,300ft_Year2_Rep3 (2).JPG,3_3_2,300,3,2,79.772,36.092,Pododesmus_macrochisma,1,1.786,,,,,,,,,,,,,,,,,
